file,sprite,path_id,width,height,texture,rect_x,rect_y,rect_w,rect_h,mesh_verts,match_score,all_scores,sprite_sha256
congrats01.png,congrats01,2293,945,218,339,283,54,945,218,140,0.0,0 / 89 / 90 / 104,6a8e9c31726ac59b8622394cff431aef1c72f728ff51ff50fcfd95eee2e757b1
congrats02.png,congrats02,2330,950,209,349,285,54,950,209,137,62.75,63 / 88 / 90 / 104,51a1eff45eaa899f1189ee1450463a64eb34b2a57f75822759a442d3cd41fb2d
congrats03.png,congrats03,2552,948,213,429,279,50,948,213,127,62.97,63 / 88 / 90 / 103,f326aa1c1178116b30d5f69f9fbb7a6e068221fa9eb383ccd3c739dcdb719465
congrats04.png,congrats04,4397,945,209,1030,283,54,945,209,139,64.77,65 / 89 / 90 / 104,9efb14499574849b541939bb518ceaafdd4a0466f7f87869ae18cdf28985a9c9
morning01.png,morning01,2749,706,337,488,27,101,706,337,269,0.0,0 / 84 / 93 / 97,449ae57e0a164498afc8860e63844f5642b9724a50f657a43e5a9615e01057a6
morning02.png,morning02,2859,707,329,528,26,109,707,329,236,62.3,62 / 84 / 92 / 97,f25cade490b5589b436290447edea964b1d29d0311c3a9a817b3e90ddd9e7ba9
morning03.png,morning03,2793,714,329,503,22,109,714,329,285,62.35,62 / 84 / 92 / 97,785bb981ae961f3ae687d28c558cf2491f36bdd5332b1a5896ff2e21a2c9e9a3
morning04.png,morning04,2496,720,329,408,22,107,720,329,258,62.29,62 / 84 / 92 / 96,ea6915af5dbd2f36bc26d18e9487bde819f7e459846bca9de3bc43d3c83d3846
offer01.png,offer01,3332,1232,99,683,7,103,1232,99,170,62.78,63 / 80 / 85 / 97,f23ea6d05f2302aa8ae74a0bda6c6d145fd509c298ac079e32a33f0125668313
offer02.png,offer02,2189,1232,103,300,6,103,1232,103,172,0.0,0 / 81 / 85 / 97,fcd685e69e2476aa629f5ec99d6238e167fa6dc17603fff355bb0f2ebbe29128
offer03.png,offer03,3046,1232,109,590,3,95,1232,109,176,62.92,63 / 80 / 84 / 98,c665bdfa4a041127412eeea581f64bce411b3af569fd1c5799ab4c706e07796d
offer04.png,offer04,2281,1232,109,334,6,103,1232,109,165,64.21,64 / 80 / 85 / 98,8db39a984a2f24bf73c90f9bd207a2371bf949524e28d9308191d2cba56edb55
